STATE_NAME,NAME,KEY,ID,rate_brcamort9397,MDratio,hosp,hosponc,scrnmamm,pcturban,urbrural,pcincome,pctpoor,pctlt9ed,pcthsed,pctcoled,unemploy,homevalu,rent,pop96,mammog2ysm,SmokecurF,SmokevrF,Obese,Noins
Indiana,Whitley,725,757,28.5,50.98,3.4,0,3.44,32.6,2,21059,5.2,7.4,78.9,8.8,3.6,57200,321,29863,0.4,0.24,0.46,0.35,0.11
Indiana,Jasper,726,702,25.7,46.6,3.58,3.53,10.96,20.2,6,16619,8,9.3,75.5,10.8,6.1,54900,326,28368,0.53,0.25,0.48,0.34,0.12
Ohio,Huron,727,2053,21.4,97.25,3.41,3.36,3.45,48.9,4,19536,9.5,8.1,74.1,9.4,8.4,56800,362,59563,,0.25,0.42,0.4,0.17
Indiana,Allen,728,667,29.4,198.05,1.94,0.64,4.88,82.7,2,24339,7.9,6.3,81.2,19,3.8,59400,393,310803,0.49,0.25,0.48,0.33,0.13
Ohio,Medina,729,2066,22.5,112.72,2.21,2.16,1.5,57.3,1,23382,5.5,5.1,82.4,18,4.3,83300,441,138943,0.54,0.21,0.42,0.42,0.13
Utah,Summit,730,2770,19.2,218.96,0,0,0,28.8,6,30545,7.2,1.6,91.6,32.9,4,108300,517,23988,0.66,0.18,0.34,0.33,0.13
Pennsylvania,Centre,731,2229,24.3,147.76,2.27,0.76,3.08,57.3,3,18957,18.2,6.1,83.6,32.3,3.4,74900,448,131489,0.4,0.2,0.47,0.34,0.09
Pennsylvania,Clearfield,732,2232,24.2,117.91,2.51,2.51,6.3,22.8,6,17961,13.9,12.9,70.2,8.6,8.6,39700,295,79640,0.55,0.23,0.43,0.36,0.09
Pennsylvania,Monroe,733,2260,25.4,108.54,0.86,0.84,0.89,19.7,6,19602,7.3,6.8,78,17.6,8.6,116900,517,119581,0.4,0.16,0.42,0.31,0.08
Ohio,Seneca,734,2088,20.2,101.05,4.97,3.31,1.66,49.3,5,18393,10.8,8.4,75.3,10.1,5.8,47300,322,60368,0.51,0.23,0.46,0.43,0.12
Ohio,Paulding,735,2077,18.1,48.92,4.89,0,4.94,12.6,6,17674,9.8,9.5,72.2,6.9,4.2,42300,295,20344,0.51,0.21,0.42,0.35,0.12
Illinois,Stark,736,651,3.7,46.9,0,0,0,0,8,17772,12.5,11.1,77,10.8,5.8,31000,299,6402,0.47,0.22,0.46,0.34,0.08
Indiana,Newton,737,721,28.4,13.88,0,0,0,0,8,15394,8.9,10.2,72.4,8.1,5.5,43800,322,14611,0.59,0.23,0.44,0.36,0.11
Nebraska,Deuel,738,1648,25.8,47.19,0,0,0,0,9,22499,12.2,10.8,79.2,12.9,3.4,29100,246,2068,0.33,0.15,0.37,0.33,0.07
"New Jersey",Passaic,739,1759,25.5,196.56,1.29,1.29,1.08,100,0,24684,10,14.9,68.8,18.7,8.6,185000,583,464833,0.54,0.23,0.47,0.35,0.09
Nebraska,Sarpy,740,1700,24.5,64.4,1.79,0.86,0.92,86.3,2,19498,4.5,2.9,91,25.4,2.3,66600,473,116271,0.21,0.2,0.45,0.33,0.08
California,Shasta,741,204,28.3,198.83,1.86,1.24,1.87,61.2,3,19558,13.7,6.3,78.4,13.7,11.3,91000,432,161740,0.51,0.16,0.43,0.36,0.15
California,Lassen,742,177,19.1,56.58,3.54,0,0,26.4,6,16058,13.3,6.8,72.8,11.7,11,69300,412,31431,0.51,0.14,0.35,0.31,0.27
Pennsylvania,Northumberland,743,2264,27.7,74.8,2.08,1.04,2.09,49,4,18070,11.6,13.5,68.5,8.6,6.9,39100,284,95897,0.48,0.2,0.43,0.38,0.08
Indiana,Fulton,744,690,29.1,75.29,5.02,0,10.18,31.7,7,17349,10.3,7.3,75.3,9.4,4.4,42300,325,20223,0.58,0.25,0.46,0.39,0.13
Pennsylvania,Butler,745,2225,26.2,94.83,1.21,0,2.47,32.6,1,20718,9.7,8.6,78.6,15.6,5.7,62800,352,167732,0.4,0.21,0.42,0.33,0.09
Pennsylvania,Armstrong,746,2218,21.1,75.1,1.34,1.35,2.68,14.8,6,17669,12.8,13.5,71.1,8.1,9.4,44100,290,73872,0.56,0.24,0.45,0.36,0.09
Indiana,Pulaski,747,731,24.8,46.3,7.72,7.63,7.69,0,9,17217,10.8,9.4,71.9,8.9,5.1,39900,306,13103,0.53,0.21,0.44,0.33,0.11
Pennsylvania,Montour,748,2262,27.5,2189.54,10.98,0,5.49,44.9,6,25061,8.5,10.3,75.2,18.7,3.5,62300,329,18044,0.55,0.18,0.45,0.32,0.09
Ohio,Hancock,749,2046,27,117.24,1.47,1.46,2.95,59.4,4,23089,7.3,5.5,82.9,18.7,3.6,63200,366,68562,0.52,0.23,0.43,0.4,0.12
Iowa,Mills,750,822,23.6,43.47,7.25,0,0,34.6,6,20548,10.2,11.1,76.1,12.6,3.2,46900,319,14054,0.53,0.19,0.39,0.34,0.11
Ohio,Putnam,751,2083,27.3,22.8,0,0,0,11.8,6,20115,5.8,9.3,77.5,8.8,4.4,58000,326,35199,0.43,0.24,0.5,0.31,0.08
Iowa,Montgomery,752,826,22.9,83.76,8.38,8.4,8.32,51.9,6,19499,10.1,9.1,80,12.8,3.9,35000,254,11908,0.58,0.23,0.39,0.36,0.07
Iowa,Adams,753,759,17,66.67,22.22,22.25,21.96,0,9,14911,16.8,12.7,77.1,9.4,3,29100,239,4494,0.28,0.19,0.39,0.44,0.11
Iowa,Clarke,754,777,30.3,49.16,12.29,0,12.24,50.2,6,14186,13.7,9.2,77.6,8.8,6,34700,286,8255,0.51,0.16,0.37,0.37,0.08
Iowa,Wapello,755,847,32.4,173.33,2.8,2.8,5.57,68.6,5,18247,15.3,11.7,74.2,11,4.9,26600,276,35766,0.46,0.22,0.45,0.35,0.09
Iowa,Jefferson,756,808,37.5,130.73,5.94,5.92,0,59.9,7,18664,13.9,8,82.3,26.5,3.8,46800,339,16901,0.53,0.15,0.32,0.27,0.14
Iowa,Union,757,845,15.5,56.38,8.05,7.93,8.02,62,7,17129,15.5,8.1,79,12.8,4.6,33100,291,12613,0.53,0.2,0.34,0.32,0.08
Iowa,Henry,758,801,24.4,75.66,10.09,5.03,5.08,41.8,7,19025,10.1,10,79.1,14.5,3.2,44100,308,19867,0.53,0.17,0.39,0.35,0.11
Nebraska,Hamilton,759,1664,29,75.23,10.75,10.82,10.93,43,7,19220,8.8,9.6,79.9,13,1.4,41000,296,9245,0.31,0.16,0.38,0.32,0.08
Iowa,Lucas,760,816,9.9,33.28,11.09,0,0,50.9,6,15846,13.1,10.4,77.1,9.5,5.6,30100,258,9054,0.47,0.15,0.37,0.33,0.08
Iowa,Monroe,761,825,11.1,24.46,12.23,0,0,47.7,7,17443,15.6,10.9,75.6,8,4.4,26900,272,8113,0.53,0.22,0.45,0.33,0.11
Utah,Davis,762,2754,20.7,96.57,1.86,0.93,0.95,99.3,0,18210,7.1,2,89.9,23.5,3.4,75600,394,214990,0.57,0.14,0.31,0.29,0.12
Illinois,Knox,763,611,22.4,140.9,3.57,1.79,1.79,71.6,4,18723,13.9,9,76.6,12.7,4.9,36800,298,55936,0.28,0.2,0.44,0.34,0.08
Illinois,Marshall,764,625,29.1,39.09,0,0,0,20.2,6,18445,9.4,10.8,77.8,10.3,4.8,43900,297,12789,0.49,0.26,0.46,0.31,0.11
Pennsylvania,Union,765,2275,23.4,171.03,4.89,2.45,2.68,25.6,6,19039,10.3,12.3,73.1,17.5,4.7,67200,351,40826,0.46,0.24,0.45,0.34,0.1
Pennsylvania,Carbon,766,2228,31.7,69.69,3.4,1.7,3.4,52.4,2,18773,9.4,11.9,69.4,8.4,7.6,62900,335,58783,0.4,0.21,0.42,0.38,0.09
Ohio,Mahoning,767,2064,26.9,231.76,1.52,0.77,4.17,83.9,2,20610,15.9,7.9,74.6,14,6.4,47400,342,260107,0.54,0.21,0.42,0.4,0.12
Pennsylvania,Lawrence,768,2252,28,95.23,3.11,2.09,4.14,45.9,4,18357,13.9,9.8,73,11.8,7,41300,298,95780,0.47,0.2,0.43,0.33,0.08
"New Jersey",Bergen,769,1745,27,412.57,0.83,0.47,2.02,99.8,0,39014,3.9,7.9,81.6,31.7,5.8,226000,689,846498,0.54,0.19,0.47,0.33,0.11
Illinois,Livingston,770,616,19.9,61.88,2.48,2.46,0,49.2,6,19788,9.3,10.8,74.1,9.4,3.8,46300,340,40597,0.47,0.26,0.43,0.31,0.08
"New Jersey",Warren,771,1764,26.5,110.76,2.07,1.02,1.05,53.4,1,24943,5.4,8.3,77.6,19.6,5.7,143500,552,97574,0.51,0.22,0.45,0.26,0.19
Utah,Tooele,772,2771,22.7,30.76,3.42,0,3.47,68.3,6,16490,11.5,4.7,77.3,11.3,5.6,60400,351,29558,0.73,0.15,0.31,0.3,0.12
"New Jersey",Morris,773,1757,27.3,266.23,0.9,0.67,1.14,84.9,0,39179,2.8,5,87,36.7,4.4,216400,724,449218,0,0.19,0.48,0.32,0.12
Iowa,"Des Moines",774,786,17.2,140.58,2.34,2.35,2.33,71.1,5,20797,11.3,8.7,78.9,12.7,4.5,41500,321,42564,0.53,0.18,0.38,0.33,0.07
Illinois,Henderson,775,599,18.7,35.58,0,0,0,0,9,15014,12.9,10,73.3,9.5,3.9,32100,273,8526,0.28,0.24,0.46,0.34,0.1
Illinois,Warren,776,657,25.9,58.46,5.31,0,5.28,49.5,7,15542,14.2,8.8,76.3,14.5,4.9,33900,295,18901,0.47,0.19,0.45,0.34,0.15
Nebraska,Cass,777,1636,16.8,39.28,0,0,0,30.1,2,20219,7.7,6.3,82.1,13.6,2.9,48600,345,23478,0.6,0.15,0.37,0.33,0.07
Ohio,Ashland,778,2017,30.6,76.11,1.95,1.95,4.01,48.3,4,17779,11.3,7.8,76,13,4.6,52500,337,51372,0.51,0.24,0.48,0.31,0.08
Indiana,Wabash,779,750,21.1,88.84,2.87,2.89,2.87,52.8,7,19045,9.2,8.7,74.4,11.7,4.3,43500,303,34661,0.53,0.15,0.4,0.34,0.12
Nebraska,Seward,780,1703,12.1,36.88,6.15,0,6.23,36.5,6,18714,9.2,10.1,80.5,14.8,2.2,48700,327,16194,0.27,0.22,0.48,0.37,0.13
Nebraska,Lancaster,781,1678,28.8,185.45,2.62,1.73,3.54,90.1,3,22446,10.5,3.8,88.1,27.6,2.2,61800,378,231765,0.4,0.2,0.42,0.37,0.09
Nebraska,Buffalo,782,1633,19.8,230.29,2.53,2.5,5.08,65.1,5,19152,14,7.4,83.3,23.7,2.6,48800,320,40037,0.31,0.22,0.45,0.33,0.08
Nebraska,Dawson,783,1647,25.3,57.3,13.22,4.32,4.53,68.5,7,18994,10.6,9,78.8,12.3,3.3,40400,291,23126,0.31,0.2,0.42,0.37,0.09
Nebraska,York,784,1716,16.9,102.57,13.68,6.8,6.86,54.6,7,21487,6.6,9.1,81.8,13,1.5,44400,309,14707,0.51,0.19,0.43,0.36,0.15
